IDETOR,IDEAPO
00236475N,95495521G
00236848V,86392701D
00237102H,14847447G
00237478A,63317041L
00237580J,40173130L
00239436Y,22767165V
00240525Z,54507998E
00241984R,69908837S
00242968L,63790426H
00243275G,68118160A
00244139V,51253096B
00244414Q,64237834F
00246015F,32726154Y
00246884W,22213144C
00248677R,11097387W
00250620N,90613721T
00251071A,40128374K
00254218E,69360686T
00255372A,86678166K
00256152R,64184895Z
00257126D,53882002V
00257463R,81089700A
00257992R,66521791H
00258564K,95320259W
00259170Y,98666933S
00259293Z,21796323M
00259753Z,63931914X
00259792F,34911939D
00260703K,19331202R
00260851P,97927874S
00261433S,04503849N
00261713L,72853288Y
00262515Q,17918249F
00263723M,58045846X
00263871S,51344750X
00264132T,35772768V
00264472H,93498038W
00265314D,72162496L
00265927R,97893253D
00267814W,81500797K
00268058Q,18136386N
00269416V,95233311V
00272272K,72297270J
00272379J,76935830W
00273721K,65748123R
00273893D,37248501R
00274429Q,05086660A
00275082W,83272532C
00276907X,22485896S
00277042F,91177648J
00277629L,84286312Y
00277644B,02604648J
00277803D,69137358W
00277983M,74989952Q
00279458P,15483709V
00281654L,55337301Z
00284430N,17288248E
00285058L,65260692D
00285349B,48010196L
00286147G,72055396F
00286152D,62533219Z
00286173F,75924557Q
00287110R,44316634G
00288852H,31188730V
00288872S,22257854H
00289851M,03792796G
00289967Y,30351348L
00290099T,56130584G
00291150Q,82197946V
00291745J,32343694J
00292556L,33099789Y
00292926K,73718515L
00293405V,66533364E
00294201P,01231802Z
00294851Z,17829443G
00295095M,52777442D
00296031K,65542903X
00297375P,65117398M
00297557Y,39081799S
00298432F,21147102M
00299098Y,40865478K
00301533A,56480357Q
00302938M,17491831D
00303220B,01670768W
00303383J,24947240Z
00303688L,58376404N
00305092C,89658948A
00305095T,85929389D
00305955D,91331216X
00305987H,16374902Y
00306806D,88034948X
00306940M,35501700G
00307476N,01735406X
00310446S,38599329Q
00311296Z,42433464M
00312358H,12131558R
00312828M,39231504J
00314203T,89573777R
00314972X,29716431V
00317336M,52635628J
00317736Z,72488143D
00320438W,68331276R
00320460R,87400420Y
00321547F,68597976Q
00321573X,19947543B
00323884K,47223178S
00324639V,98979092H
00325603S,86681252W
00328790M,75596531Q
00329432A,62455606A
00330661J,97660201Q
00331910C,67009078G
00332151P,93495180L
00335087T,11945316J
00337728L,31857592Q
00337984E,02534183C
00338023S,30927493Z
00338837R,80214389A
00339177L,36094244E
00339344W,91520376H
00339394Y,71275385H
00342275N,41667811E
00343155H,23439819J
00345147D,68972266G
00345500V,28921540Y
00346497W,94971004W
00346582H,71665351L
00346865W,19572981G
00347289N,29407449V
00348319F,48463697Y
00348999C,83249930G
00349667K,17977611Y
00349942C,09542447T
00351493F,27202378W
00351555T,32127255G
00353151D,07774160E
00353828L,84256487N
00355286M,40954387N
00356201T,55325365S
00356279D,02818218M
00358197H,70355814X
00360100N,89980408S
00360483G,39390431X
00361486H,70738987A
00363431P,18256452H
00363869D,55952009R
00364587Z,22640065S
00365787H,87369901P
00365953T,43970682H
00368319C,30586935V
00369104T,05601955Y
00370463W,15748936P
00371248M,40390982S
00371929L,16250760H
00372939V,54583471D
00373663M,72130753Q
00374124Y,71094077L
00374756V,82630493A
00374794D,08770179A
00374956X,31288147M
00375947N,43148889S
00376533T,83818448P
00378072K,26300320G
00378582W,26956826K
00380207V,75236586K
00380304E,17573740S
00383483G,73854684M
00385026Y,42583604R
00385929N,02681673B
00386497M,92290960X
00387137R,60562659W
00389698D,64343570N
00389923G,06356421A
00390034T,51710451B
00390661Y,68237136T
00390870P,09153714J
00392965X,31972943E
00393384S,76782933D
00393998P,43799804F
00394607L,12319534K
00395462T,08044382V
00395554T,87497016W
00397384J,60812140W
00397893Q,70743737S
00399260A,32131388C
00399746Y,45682208E
00400564L,77268355Q
00402695B,83794008V
00403864F,06572344W
00403960B,75502044J
00404118P,74352179X
00407874S,99646988V
00408166P,97341186B
00411074H,70184899P
00411727G,00011330Z
00413489H,42285298M
00413689B,19117659J
00415047N,88017226K
00416850K,49210956H
00417842R,81550119P
00418342H,92038379S
00418666C,06347398L
00418785R,94721075Z
00420210T,65358824T
00420297H,20625300G
00420623E,74935999K
00422406B,93522818B
00424086N,83782835E
00426316B,93954019P
00427467N,41269188N
00428682P,77493018S
00429484M,53956180C
00431575A,09470703Q
00431693Y,27637769A
00432526B,94213247A
00434792T,78941833Z
00436085M,24456770L
00437453Q,48493301D
00437891V,08663938E
00439867S,32234724V
00439971G,21718500Z
00441907P,97521764Q
00442527F,61567510Y
00445646K,79445536V
00445894Q,88965172E
00446432W,88943175J
00446882S,53374878C
00447064J,29130275Q
00447999M,77517623X
00448401Q,85739207Z
00449689Q,72219668J
00450460M,74047027E
00451381Y,11771053K
00451489E,10139731C
00451816G,06833710L
00451830H,62683414L
00451954G,23767706N
00454927X,46245896A
00455566M,15641300N
00455635M,43756837G
00456758R,27607636T
00456894E,97024750D
00457477F,81930725X
00457574N,52474769Q
00457756X,47196340H
00459812L,71247146T
00459877S,02613974R
00461541T,53368309Y
00461742V,26424453Y
00462632X,39130322P
00465088M,22489164V
00466472D,63663268G
00467349N,25647072W
00467415D,81780579P
00467870G,50026569M
00468084B,61391373A
00468526Q,36998520F
00468656P,05444631W
00471030J,12308030V
00471271R,46147439D
00472776B,68049450V
00475166D,90626159H
00475259X,80663390K
00475447Z,45356184T
00476574Z,86993958T
00476843F,13063570F
00477844L,09942524S
00478832H,64867727E
00479236P,91776614J
00479677N,80826058X
00480106G,88360385C
00480318D,15268440M
00482279S,49155568Z
00482784Z,30155314Z
00482984F,57193312V
00483177Q,57590521Q
00483843S,20103719V
00485287X,24350228J
00487276K,92789874P
00487527L,29185685L
00489148F,75127715D
00489748D,33722440R
00489987H,11336060G
00490699V,63651132N
00491788W,19175866F
00493767A,88070149K
00493806L,20177557W
00494610H,72661770D
00495916J,93960616G
00497248B,78128873N
00497714V,96617970F
00499108P,71523045Z
00499317X,67558534J
00502324G,94366474G
00502655J,79719374V
00503709D,99087691B
00503887A,20802866X
00503919N,58945879F
00504688E,17068508R
00505408Y,08483689R
00510931D,57272946W
00512390L,44915204E
00512884F,45120207A
00514410S,26550206H
00515866E,26342751T
00516244D,24584284K
00516542P,92733475M
00518021S,70298817F
00518183Q,01390268X
00522155D,13586197M
00522470W,90759437B
00523606B,09143426Y
00523971P,58268365G
00524125R,70143238T
00524894B,74403810Y
00526757B,15540220V
00527194B,40848882P
00527365K,58242189W
00528341P,81348291M
00529448B,68724418G
00530608K,84849666K
00530966B,91880584T
00531386V,61231879Z
00531853R,26165602C
00532034K,56955145S
00532963F,88084088E
00534585L,38215510K
00534841E,11357838R
00534876B,26438571W
00536391P,33743636Z
00537955P,44422190J
00538240V,14008805B
00539959B,56404692K
00540854D,82037212F
00541134J,50456774H
00543981P,02398805C
00544551A,10971735E
00547648H,60423124P
00548478C,36621413P
00548703S,32404846P
00549683Y,70516644R
00550983H,59117047D
00551861E,64143400B
00552012N,18400379B
00552266J,69186743Y
00553933R,24293098S
00555615G,45485677A
00556778V,00961550N
00557710Y,06680036P
00559492V,18143757T
00560509E,57795172J
00560545N,32737547Z
00561271W,23246422T
00561424V,52562086W
00562404P,10354802H
00565226R,39800640Z
00566388J,93347751C
00566511K,82665891G
00567894R,98070795Z
00567915E,05967677M
00568353T,84240110B
00569365T,76519796S
00569623M,96656983N
00570560E,01283878H
00571237D,66397773Q
00572185Z,06955600D
00572720C,04402529F
00572733X,24727022K
00572975E,08466370R
00573333N,28378478C
00573724N,01944285A
00573789P,59255775R
00574703W,83067053T
00574905C,12195245R
00575789F,67288151H
00576094J,48415402B
00576437B,20953473J
00576836L,04795974Z
00579508T,09692907V
00583957X,58669009B
00584307S,91315514V
00585737L,25407849W
00588274A,72811184S
00588699Z,91634183K
00588778R,84667138K
00589613P,64382292W
00592730C,37631465S
00593661P,76045882Q
00594055B,52099778V
00594759W,09847076V
00598453Q,14675683G
00598726J,45513555M
00599339M,39164449A
00601237V,66208573Z
00601579Z,21971165R
00602005A,02187337Z
00603326J,40890109L
00603869G,25769746V
00604463T,25931432J
00604569Z,11805253C
00604901R,25688000J
00604996G,16415941J
00604997M,91660432G
00606581W,95056025S
00607067M,75715228X
00607845R,14905118Z
00608027E,95898448V
00609659K,90330363W
00610358F,99614866A
00610683X,89527818L
00610973R,08132876F
00610987S,47671260B
00614936P,73962166P
00616062F,52446762T
00616773M,42698025C
00617619T,61050545N
00619463G,04220144N
00619633J,20053970V
00620262K,02238631H
00621715W,88205267Z
00624026J,29436236P
00624763Z,80361764V
00625599E,42833829D
00625878W,46499757J
00626692B,57589348Q
00630631V,92148648E
00630736F,07987822Z
00632622F,12875173A
00633384X,45753824Q
00634124Z,87154132W
00634789N,02152740D
00635018B,78066228L
00636078J,16381860H
00637490E,81593026C
00637681Y,75170406N
00638102J,48451955V
00638151Q,92027124F
00638781W,56715709D
00639185S,78925594J
00639414Z,22644184V
00640713W,70671462Y
00640833F,78902270B
00640861N,77885667P
00641550B,33408041N
00642154V,94087643W
00644361Q,12999302R
00644488M,98255782N
00646120G,11039654E
00646542N,19841434R
00648098G,22648572N
00648595H,29924108G
00650021H,89400452G
00650433Q,33679172L
00651106E,32445318T
00651872Y,58619743B
00651998V,31350636A
00653185P,25158247L
00654117C,70612120G
00654838M,35613259J
00655654Q,66833359M
00656280K,14061703D
00656546B,70024579K
00657607Z,95121123T
00658611Y,21775979Q
00658909M,39764300Z
00659536B,40138847Y
00659754E,86871313Z
00659756R,42082333S
00662787L,41487369S
00663096Y,13811546T
00663291V,66741723R
00664123K,62144800L
00665064L,04274047A
00665189Y,50823638D
00665468D,44255901Z
00665814X,04089306K
00669607P,49101428Q
00670323B,73337854P
00671917H,40037616K
00674664M,96552873T
00674680K,18589199R
00674772K,95242858L
00675710Q,60817318M
00675896H,35964908S
00678849G,91255909M
00679619S,96111606B
00681057G,89337159F
00682360L,64199215M
00682609S,72828262G
00686697D,72148840W
00687777P,02907811J
00687845F,51825102F
00689677E,90052239V
00689710D,59519004H
00690142G,65820167D
00690733C,07145288Q
00691083W,87792048J
00692988K,25334872G
00695025B,30259348L
00696172P,80351217G
00697676V,12779403M
00698661J,83948356N
00698920L,18702521W
00700514A,36350964Q
00704690Q,86622634B
00705487P,60732531L
00706239R,58813349A
00707833P,95188193W
00708377T,15276377F
00711593L,73152929A
00716081E,84084804R
00718608L,16297611H
00721415C,04293384C
00721746Y,37867288L
00722425H,12078648Z
00724905Z,26561323A
00725283R,28044671N
00725932Y,63890713W
00726751C,01284970Y
00726855D,22048149G
00730531M,58121504K
00730619R,30161719W
00732128S,58969322J
00733219W,31161657S
00733973C,48815236J
00734224H,67485110M
00734801C,80495584T
00735410P,88105279F
00736070R,40820555V
00737161B,19299113C
00737270M,67331784C
00737321X,13879689V
00737790L,32158597C
00739134Y,24160736H
00739817E,30911668J
00739928H,54756058G
00740694W,73144686V
00741826F,57863522F
00742539F,40656156E
00742691K,63611778B
00745082C,59043115E
00745529F,50221090S
00746103Y,75788658R
00746160V,49281618R
00746369L,63922191Q
00746478J,50106402M
00748663J,15400087T
00749468J,21531942D
00749495V,83609225Q
00750176P,76013629D
00751626D,47751356K
00752147R,98427891N
00752365N,51881058G
00752399T,13137144G
00754319B,58066797P
00754407F,12825811E
00755470N,55349944F
00755569L,06805264R
00755659V,96952732G
00757143Y,35776954V
00757460R,41892083K
00757594C,80829174K
00757743P,49911666X
00759330P,19101272W
00761750J,34164947B
00762170L,42418649W
00763201S,20783180N
00763235A,48540964Q
00763595H,14797289D
00764807B,77201771V
00765063Z,63728534L
00768745Q,24408783X
00770283J,52030075G
00771226J,65727401W
00771905W,80383161R
00772780A,84187782P
00774585Z,96248013M
00776006D,31301146D
00776292L,33074459E
00777396L,72621540Y
00777403A,22933654D
00779325Q,15820910S
00782210A,69924877R
00784270Q,94208957Z
00784876R,12235925V
00785592G,34694027E
00785937G,48739270Q
00787348N,03292069X
00787436P,91127546M
00787477A,69893906B
00787556J,04935268C
00787773T,84411374V
00787787Z,54089442C
00789946B,15314727Q
00790109J,58455740K
00790930Y,80731097Q
00791852P,11324198X
00791938W,54968101X
00794270B,77843525W
00796141L,86441539H
00796369V,49495518R
00796386B,96804298N
00799339C,64587628V
00799608J,05509372K
00800100E,09086164Z
00800565G,53819223M
00802896N,57548092E
00803868H,29240956K
00804929K,20754870S
00806095Z,92422525S
00806558V,97323358P
00806560L,51612636S
00807157H,19173711Z
00807433H,27991381J
00808341Y,94945000B
00809060N,21071735D
00809625W,38321970Z
00810595Y,37745325W
00811499J,90128501B
00812860V,15346496E
00815745G,65750810C
00815987Q,52588980D
00816721Z,45769807Z
00816893W,01975385F
00816964G,21661542G
00817214R,75960430D
00819088N,18106405T
00819152F,14385475X
00820835B,20565097S
00821011A,49469022R
00821279H,67069107A
00823063P,32587202C
00823172W,39403710H
00824229R,91038998F
00824862J,32264836E
00825636M,25889852V
00826033B,15989093E
00826144F,83391549N
00826765F,74264613M
00827373V,02064880D
00828484R,69602512G
00829720H,50021655J
00831287K,42260798T
00832829E,54371843G
00833009H,50037970K
00833205F,83162351D
00834852K,74720461Q
00835117X,59767833X
00835953H,99129672V
00836064Z,70997091R
00836657D,39898907W
00836847S,82849846M
00837222E,95139744Z
00840381F,87945749M
00840413Q,56240511Z
00840669L,13882338K
00840728D,46877448K
00843409E,43135881W
00843597A,18679988D
00844154P,83520823A
00846182N,10824741K
00847001A,73804321N
00847716M,43144041C
00848399K,58142151Z
00848417Q,88590459W
00850203P,40847290A
00850662F,54157304D
00851117W,68851299V
00854505D,83053981S
00854544W,50228462G
00854563K,14304576W
00854578J,16551271B
00854980R,34366924W
00855290N,77434149A
00857833W,62949215D
00858659T,61914514D
00858809N,98489887T
00859690L,95064581S
00859970T,05436467A
00860111A,09427174A
00862902B,05571003N
00863084D,54145187J
00864392Y,07273496E
00865388J,07397440L
00865622V,46417813H
00866672D,33932324X
00867072H,22676068T
00867354R,69055585V
00867522P,98999775R
00870198Q,58563630H
00871067B,06020204T
00871220A,24855973B
00871931R,94303389P
00872393A,34248896X
00872623A,16865380D
00872749Z,55099579C
00875971Q,96555158P
00876451J,42479971Y
00876760T,97644628Z
00878101F,20856334A
00878877R,50091421C
00881534J,27127257E
00882312D,11029001H
00882896H,08462265J
00884001L,06036219F
00885233D,11367102L
00888285W,42651718N
00890592D,09292498S
00890738V,84850807N
00891095Y,66456514S
00891166P,29730085D
00891234F,80150765C
00892445E,95397441L
00893929B,62863405N
00894474G,24463868X
00894953T,38474969V
00895708L,64656852B
00896725R,35124678K
00897293V,59808688V
00899278R,94940011J
00899572L,70153597D
00899939H,18151194P
00900779F,13069924J
00901477S,87903320B
00901956B,71424383E
00902357K,22139128H
00902880S,55571975L
00905770F,60163510H
00906415P,16937225W
00908090G,55761739X
00908757G,16592650J
00908989Y,19343794N
00911189K,46890132D
00911466E,98180130F
00912192N,29686794G
00913344Z,02417836F
00915819M,46753948P
00916199V,91462451F
00916327F,81234341C
00918174Z,51439608Q
00918428S,72340033L
00919407M,62408875P
00920396M,76272171P
00923424C,81627186W
00924060N,46135031K
00924713K,75054008V
00925611E,82811006N
00926291N,77826590H
00926830E,76493936F
00926894V,08605564E
00927123Q,24825850H
00927213Z,85092408K
00928643H,59737373W
00929326B,79428870A
00929664G,63649472P
00930563Y,19487287P
00931488B,06727309Q
00931772L,91065236W
00932127Y,57101696X
00932389S,03469181E
00932753B,29249772M
00933788B,24548999H
00934751P,77067967G
00934795Y,32608896W
00936658Y,84180655B
00938110D,21704832P
00939005F,96677627W
00940339F,99142526Z
00940453Y,54268170S
00941430V,21380372D
00943803K,87069526J
00945088H,41034367K
00945354P,29583427E
00946328Q,45551567K
00947067L,44360867P
00947248Q,07856594R
00947512G,25231416W
00948260Q,97217810F
00948699H,41765129G
00950240H,81080496E
00950280N,23945740A
00953221D,16491649M
00953563Y,55049736H
00953846J,06331870Q
00954925B,77323711B
00956218Q,77760868F
00956320A,82690710Y
00956730E,82815422N
00956782M,43682263L
00956835N,32675714M
00958133E,81519985G
00958817Q,37734606R
00958828G,45795466M
00959386X,75639626D
00966513F,56368087D
00966790P,43749690X
00969228P,96508112C
00969640Y,69672053Q
00969691B,63414606H
00969875B,30680203C
00970964L,80753365C
00971775W,00806210Z
00972747P,92883453T
00973195L,14418619B
00974724F,59007682D
00975162P,57725096H
00975891R,01082677K
00978298Q,82139401F
00978865P,02826695H
00981883J,59157370J
00982723W,26363029S
00983220Q,51859731K
00984149W,67895414N
00985494J,36154521Q
00986311W,74029742X
00986380W,04386670H
00986830S,39522278K
00986978W,96979951Z
00987898W,93200194P
00989795J,93368659K
00990326S,09919256T
00990500M,50505447T
00992549F,93698370G
00993903G,54851236P
00994695Z,07613004G
00997177N,73770363W
00998020G,05362263C
00998469Q,64044930G
00999657P,23547987N
01000962W,26628434T
01003215R,87391024V
01003892B,08164040Y
01005320J,46956263S
01005462V,28902893N
01005935F,09913969A
01006712W,79578856Y
01009222M,23110060M
01010939C,29528184W
01016953P,05532473F
01017370B,58738060Q
01018557W,00142316S
01020764R,39642270E
01020771P,48932893W
01020893S,87264206K
01021929Q,53334459N
01022144R,74570627G
01022690H,61238701M
01023111W,31320256Y
01024536R,21602134M
01028023S,60083560Q
01028106Y,24797393N
01028107F,13061924V
01028385D,07093749C
01029562J,72321456A
01031130V,98638375T
01032006L,37854017L
01032028H,17877579R
01032109F,27819267P
01032540R,79881277T
01033578G,67028702D
01034032K,12711979V
01035152Z,04862637T
01035490F,93009955W
01036076H,13348429B
01036719V,49724472J
01038122V,73248530Q
01038704R,63018164G
01040348N,51263356J
01040539L,18940637E
01041488W,43145209S
01041806K,98866578C
01042661W,32057501D
01046233D,10216191M
01046355Q,25773827G
01046408T,73132264S
01047356M,15760536Q
01048557X,61645733Y
01048706K,32422349P
01051846X,52149854E
01052543V,22933446P
01053850J,45932009C
01053903C,06241682B
01054766D,40438776S
01055879H,68475157V
01056846L,31408010S
01059733P,71325876R
01060065H,09658179L
01060090C,70651895N
01060593V,36728892P
01060614S,71263858Z
01061369B,24329548X
01061459D,34460603W
01062531T,32405456C
01062544J,51855304X
01063104K,56246495H
01064720G,42933007B
01065952V,62354041Y
01066909P,08337675Z
01067894G,52043418F
01068356Y,80648311F
01068515G,01162684B
01068687S,68466486V
01069487X,98267559J
01069617W,71469034F
01071035V,36030349K
01071559N,23979209F
01072062D,34529122G
01072186H,34358414W
01072445R,36818062F
01072481Z,60263160D
01074418L,59977767T
01074994C,38887999J
01077234Y,30531257E
01078607E,83353674H
01078673L,01218117Z
01078941B,12674330L
01080049S,70552135A
01080853Z,01357075Y
01081004G,69606495P
01081776V,81934846Z
01081990R,94998400M
01084653L,55430534M
01087403D,95583249X
01089312D,04056258R
01091265F,05610930B
01091388S,91383303W
01091748F,74154432V
01092540V,61585142C
01093174F,78299970N
01093281E,50366393G
01093676A,47345797K
01094317T,66566017S
01094864H,56259909T
01095383P,10296831F
01095647L,29854769X
01096375B,78131944R
01096670F,52208737W
01096899Y,80788945L
01097470W,33943583E
01098864Q,35887347X
01100039H,60848829Y
01100392A,28001482V
01101134D,78730240K
01101795A,05180732M
01101982Y,45525531K
01102844V,34406606D
01104830W,80961852N
01105079K,88031420R
01107018M,00189237Q
01111454W,48963442F
01112113V,66605619B
01112860M,15551667X
01116210C,42358284N
01117101Z,13877978P
01118409B,19097386A
01119558X,01718402A
01120042B,60090267F
01120609A,89071206A
01121943A,59583717D
01122418H,88403415V
01122457B,89195966B
01123387K,86176256V
01123794Z,17099407B
01124268M,17110054D
01126198A,95073489E
01126643B,29522350X
01126670S,24290594H
01128377C,82876723H
01128438N,20860957A
01128868M,45055353D
01133099G,13649690H
01134357C,85786370G
01136977H,05394705D
01137542P,16588149C
01138572A,23386553S
01140242V,32346836G
01140317T,83540756H
01140626X,26256631S
01140646F,21033159G
01140745Z,66948913F
01141436S,26832173M
01142008N,83506308R
01142473V,71277117W
01142644G,30236799X
01143299S,41336934T
01143580C,64582753H
01143627K,82289853Q
01143637P,98584164T
01143877H,43619959E
01144635V,30402290Q
01145657G,29885525S
01147703A,51378436R
01148727S,09089216F
01149387P,81188935Q
01150579G,26526268T
01150689E,80008972E
01151125K,15570971V
01152686H,29268657F
01152836F,31982574Q
01153217C,03960185E
01153722L,23174796L
01154249V,11128840Z
01154971A,13355410T
01157647B,78655172W
01157933K,44608803G
01158942H,17926040R
01159631V,12484433X
01161508P,20603493R
01164113Z,75264090V
01164454X,14395870D
01164532L,58826433T
01165630J,81531576A
01166466K,48447713F
01167220Q,02221656V
01167765D,97809963W
01167846K,20170084G
01169620R,81826337L
01169940E,00260237S
01171574T,58644931Z
01171670G,88189714D
01172611W,91898388W
01175913S,13725799C
01177156Q,72975030D
01177304A,86696493V
01178682R,79522398J
01179517P,09564444D
01181327R,33838191Q
01183512R,98849812K
01183919V,33337748F
01188245L,70049174Y
01188301Y,35415311A
01189250N,57777477M
01189272B,48556377L
01190588Q,30560335M
01190615C,98192572Y
01190843H,33440457K
01192356J,60070819V
01192418Y,87342569T
01193316F,05281362X
01194521Q,56202147Z
01195607K,25405777T
01195870P,02117157F
01195939P,92955637X
01195964X,25195565P
01197658W,63770487C
01197798G,23890344Z
01198692R,90509257W
01199085A,74757700H
01200037N,32911418M
01200375M,15633974T
01201708G,29974675V
01201935R,23295516N
01203223R,57246291G
01204008G,47727601W
01205341A,80140028R
01207056Q,51510323Y
01207950J,01130071N
01211096P,68665703P
01212347V,32147440H
01212847B,07402212F
01214258L,77249073P
01214365B,98860130N
01214472A,65323737B
01214559K,50649895P
01214642N,20880308B
01217140A,27844983X
01217553W,81150043V
01219151J,30691168Z
01219828T,78686172K
01221058B,25634075T
01221605Y,90454650C
01224315W,02465794X
01224840K,93513065X
01224966D,40296250C
01225747P,18596999G
01225782C,83045659L
01226324X,09383243W
01226822W,13904322V
01227639Z,50719745F
01228332V,61133939P
01228965Y,69513287L
01231184V,59614110L
01231424G,85359884F
01235206Z,41255110X
01236098D,46625913Z
01236237X,98857550P
01236322A,65257172P
01238921A,07156070B
01239540R,15122181A
01240641K,90793652W
01243690B,52509520Z
01243779P,34763346L
01243886T,52508254J
01243976K,64789674P
01245328Q,41036216F
01247030Q,16048530G
01247384W,72453124L
01247865T,40684222M
01248266X,34878129D
